date,country,send_interval,is_verified,is_unsubscribed,account_cnt,sent_msg,open_msg,visit_msg,total_acc,total_sent,rank_acc,rank_sent
2020-11-01,Canada,1,1,0,8,6,3,0,2067,37914,3,3
2020-11-01,Canada,1,1,1,3,2,2,0,2067,37914,3,3
2020-11-01,Canada,1,0,0,5,0,0,0,2067,37914,3,3
2020-11-01,China,1,1,0,2,3,0,0,490,10181,8,5
2020-11-01,France,1,1,1,1,0,0,0,553,9520,5,6
2020-11-01,France,1,1,0,4,0,0,0,553,9520,5,6
2020-11-01,Germany,1,0,0,2,2,2,0,490,9483,8,8
2020-11-01,Germany,1,1,0,2,4,4,1,490,9483,8,8
2020-11-01,India,7,1,0,1,8,4,0,2687,51189,2,2
2020-11-01,India,1,1,1,5,0,0,0,2687,51189,2,2
